Operator,Noisy_val_approx,Ideal_val,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"(((1, 4), (3, 6)), ((1, 0), (3, 0)))",-2.1059962680445476,-2.1059962680445476,0.2553191489361702,0.7446808510638298,0.125,"[(6, 5), (6, 11), (6, 11), (6, 11), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 11), (6, 7), (6, 5), (6, 5), (6, 5), (6, 11), (6, 7), (6, 7), (6, 7), (6, 7)]"
"(((1, 4), (3, 6)), ((4, 0), (6, 0)))",-2.105997852479722,-2.105997852479722,0.2553191489361702,0.7446808510638298,0.125,"[(6, 5), (6, 11), (6, 11), (6, 11), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 11), (6, 7), (6, 11), (6, 11), (6, 11), (6, 5), (6, 11), (6, 11), (6, 11), (6, 11)]"
"(((1, 4), (3, 6)), ((5, 0), (7, 0)))",-2.1059537422970065,-2.1059537422970065,0.25263157894736843,0.7473684210526316,0.125,"[(6, 5), (6, 11), (6, 11), (6, 11), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 11), (6, 7), (6, 11), (6, 11), (6, 11), (6, 5), (15, 14), (15, 14), (15, 14), (15, 14)]"
"(((0, 5), (2, 7)), ((1, 5), (3, 7)))",-2.112123592332866,-2.112123592332866,0.2792207792207792,0.7207792207792207,0.125,"[(6, 7), (6, 11), (6, 11), (6, 11), (6, 5), (6, 7), (6, 5), (6, 11), (6, 5), (6, 7), (6, 5), (6, 11), (6, 5), (6, 7), (6, 7), (6, 5), (6, 7), (6, 7), (6, 7), (7, 10), (6, 11), (6, 7), (6, 7), (6, 7), (8, 7), (6, 7), (6, 7), (6, 7), (6, 7), (7, 10), (8, 7), (7, 10), (6, 7), (7, 10), (8, 7), (7, 10), (6, 7), (6, 7), (7, 10), (8, 7), (8, 7), (8, 7), (6, 7)]"
"(((0, 5), (2, 7)), ((0, 4), (3, 7)))",-2.1113051155792073,-2.1113051155792073,0.271523178807947,0.7284768211920529,0.125,"[(12, 5), (12, 11), (12, 11), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 13), (12, 5), (12, 5), (12, 13), (12, 11), (12, 11), (12, 11), (11, 10), (12, 5), (12, 5), (6, 5), (6, 11), (11, 10), (12, 5), (12, 5), (12, 5), (12, 11), (11, 10), (6, 11), (11, 10), (12, 11), (11, 10), (6, 11), (6, 11), (11, 10), (12, 11), (12, 11), (12, 11), (6, 11)]"
"(((0, 5), (2, 7)), ((1, 4), (2, 7)))",-2.1071884075560465,-2.1071884075560465,0.2905982905982906,0.7094017094017094,0.125,"[(3, 4), (12, 5), (12, 13), (12, 13), (12, 13), (13, 4), (3, 4), (5, 4), (3, 4), (13, 4), (3, 4), (5, 4), (3, 4), (13, 4), (5, 4), (15, 14), (13, 14), (13, 14), (13, 14), (13, 14), (3, 14), (15, 14), (3, 14), (13, 14), (3, 14), (15, 14), (3, 14), (13, 14), (13, 14), (3, 14), (13, 14), (13, 14), (13, 14), (15, 14)]"
"(((0, 5), (2, 7)), ((4, 5), (6, 7)))",-2.1070418061952134,-2.1070418061952134,0.26490066225165565,0.7350993377483444,0.125,"[(6, 7), (12, 11), (6, 11), (6, 7), (12, 5), (12, 5), (12, 5), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 11), (6, 7), (12, 5), (12, 5), (12, 5), (6, 5), (12, 11), (11, 10), (7, 10), (7, 10), (7, 10), (6, 11), (6, 5), (6, 7), (6, 5), (6, 11), (6, 5), (6, 7), (6, 5), (7, 10), (7, 10), (7, 10), (6, 11), (6, 11), (6, 5), (11, 10)]"
"(((0, 5), (2, 7)), ((0, 1), (2, 3)))",-2.1070540992598765,-2.1070540992598765,0.2857142857142857,0.7142857142857143,0.125,"[(6, 5), (6, 11), (6, 11), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 5), (6, 7), (7, 10), (12, 11), (12, 11), (12, 11), (12, 5), (12, 11), (11, 10), (7, 10), (12, 11), (12, 11), (12, 11), (11, 10), (7, 10), (12, 11), (12, 11), (12, 11), (11, 10), (7, 10), (12, 11), (12, 11), (12, 11), (11, 10), (7, 10), (12, 11), (12, 11), (12, 11), (11, 10), (11, 10), (7, 10), (12, 11)]"
"(((0, 5), (2, 7)), ((1, 5), (2, 6)))",-2.1337520956750673,-2.1337520956750673,0.26666666666666666,0.7333333333333333,0.125,"[(3, 4), (2, 3), (2, 3), (2, 3), (3, 14), (3, 4), (3, 14), (2, 3), (3, 14), (3, 4), (3, 14), (2, 3), (3, 14), (3, 4), (3, 4), (3, 14), (2, 3), (2, 3), (2, 3), (3, 4), (5, 4), (12, 5), (12, 5), (12, 5), (13, 14), (13, 4), (13, 14), (12, 13), (13, 14), (13, 4), (13, 14), (12, 13), (13, 14), (13, 4), (13, 4), (13, 14), (13, 4), (13, 4), (13, 4), (12, 13)]"
"(((0, 5), (2, 7)), ((1, 5), (3, 6)))",-2.1059531599990065,-2.1059531599990065,0.2905405405405405,0.7094594594594594,0.125,"[(11, 10), (13, 4), (5, 4), (5, 4), (5, 4), (3, 4), (5, 4), (3, 4), (13, 4), (3, 4), (5, 4), (3, 4), (13, 4), (3, 4), (5, 4), (5, 4), (3, 4), (12, 5), (12, 5), (12, 5), (6, 5), (6, 5), (6, 5), (12, 13), (12, 5), (6, 5), (6, 5), (6, 5), (12, 11), (11, 10), (6, 11), (11, 10), (12, 11), (11, 10), (6, 11), (11, 10), (12, 11), (12, 11), (11, 10), (12, 5), (12, 5), (12, 5), (6, 5)]"
"(((0, 5), (2, 7)), ((0, 5), (2, 6)))",-2.105953165488052,-2.105953165488052,0.2894736842105263,0.7105263157894737,0.125,"[(3, 4), (13, 4), (13, 4), (13, 4), (15, 14), (3, 14), (15, 14), (13, 14), (15, 14), (3, 14), (15, 14), (13, 14), (15, 14), (3, 14), (3, 14), (15, 14), (13, 14), (13, 14), (13, 14), (15, 2), (2, 3), (15, 2), (15, 2), (15, 2), (15, 2), (15, 14), (15, 2), (15, 2), (15, 2), (15, 2), (2, 3), (3, 14), (3, 14), (3, 14), (15, 2), (2, 3), (15, 2), (15, 2), (15, 2), (15, 2), (15, 14), (15, 14), (3, 14), (15, 2)]"
"(((0, 5), (2, 7)), ((0, 5), (3, 6)))",-2.10716873829789,-2.10716873829789,0.3089430894308943,0.6910569105691057,0.125,"[(2, 3), (5, 4), (13, 14), (3, 14), (13, 14), (15, 2), (15, 2), (15, 2), (15, 14), (13, 14), (3, 14), (13, 14), (15, 14), (13, 14), (3, 14), (3, 14), (3, 4), (5, 4), (13, 14), (15, 14), (15, 14), (15, 14), (13, 14), (13, 14), (13, 14), (13, 4), (5, 4), (3, 4), (5, 4), (13, 4), (5, 4), (3, 4), (3, 4), (5, 4), (13, 4), (13, 4), (13, 4), (3, 4)]"
