Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_REM,two_qc_ratio,single_qc_ratio,singles,doubles,singles_ratio,doubles_ratio,param_ratio,cnot_con
"(((1, 4), (3, 6)), ((0, 0), (2, 0)))",-1.621070192,-1.621070192,-1.620087372,0,9.66E-07,0.24742268,0.75257732,1,1,0.25,0.1,0.142857143,"[(5, 9), (9, 8), (9, 8), (9, 8), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 8), (9, 10), (9, 8), (9, 8), (9, 8), (5, 9), (11, 12), (11, 12), (11, 12), (11, 12)]"
"(((1, 4), (3, 6)), ((1, 0), (3, 0)))",-1.621492729,-1.621492729,-1.620509916,0,9.66E-07,0.263736264,0.736263736,1,1,0.25,0.1,0.142857143,"[(1, 0), (12, 2), (1, 2), (1, 0), (13, 12), (13, 12), (13, 12), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 2), (1, 0), (13, 1), (13, 1), (13, 1), (1, 2), (1, 0), (1, 0), (1, 0), (1, 0)]"
"(((1, 4), (3, 6)), ((4, 0), (6, 0)))",-1.62154924,-1.62154924,-1.62056643,0,9.66E-07,0.255319149,0.744680851,1,1,0.25,0.1,0.142857143,"[(5, 4), (4, 3), (4, 3), (4, 3), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4), (4, 3), (4, 3), (4, 3), (4, 3)]"
"(((1, 4), (3, 6)), ((5, 0), (7, 0)))",-1.621083569,-1.621083569,-1.620100768,0,9.66E-07,0.266666667,0.733333333,1,1,0.25,0.1,0.142857143,"[(1, 0), (11, 10), (11, 10), (11, 10), (11, 10), (13, 12), (12, 2), (12, 2), (12, 2), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 0), (12, 2), (12, 2), (12, 2), (13, 1), (13, 1), (1, 0), (13, 12)]"
"(((0, 4), (2, 6)), ((1, 5), (3, 7)))",-1.651641319,-1.651641319,-1.650658506,0,9.66E-07,0.30075188,0.69924812,0,2,0,0.2,0.142857143,"[(2, 3), (4, 10), (9, 10), (9, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (4, 10), (11, 10), (9, 10), (9, 10), (9, 10), (4, 10), (11, 3), (11, 3), (11, 3), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (12, 2), (2, 3), (2, 3), (2, 3), (11, 3), (13, 12)]"
"(((0, 4), (2, 6)), ((0, 4), (3, 7)))",-1.624983341,-1.624983341,-1.624000531,0,9.66E-07,0.292307692,0.707692308,0,2,0,0.2,0.142857143,"[(2, 3), (9, 10), (11, 10), (11, 10), (11, 10), (4, 10), (9, 10), (4, 10), (11, 10), (4, 10), (9, 10), (4, 10), (11, 10), (4, 10), (9, 10), (9, 10), (4, 10), (9, 10), (9, 10), (9, 10), (4, 10), (4, 10), (4, 10), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (11, 10)]"
"(((0, 4), (2, 6)), ((1, 4), (2, 7)))",-1.667712893,-1.667712893,-1.666730081,0,9.66E-07,0.3125,0.6875,0,2,0,0.2,0.142857143,"[(4, 3), (2, 3), (2, 3), (2, 3), (11, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (4, 3), (11, 3), (2, 3), (2, 3), (2, 3), (4, 3), (5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (4, 10), (5, 4), (5, 4), (5, 4), (5, 9), (11, 10)]"
"(((0, 4), (2, 6)), ((4, 5), (6, 7)))",-1.572327178,-1.614401165,-1.613302354,0.001772709,0.001678965,0.275862069,0.724137931,0,2,0,0.2,0.142857143,"[(6, 8), (9, 8), (9, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (6, 8), (7, 8), (9, 8), (9, 8), (9, 8), (6, 8), (5, 6), (5, 4), (5, 4), (5, 4), (5, 9), (5, 4), (5, 9), (5, 6), (5, 9), (5, 4), (5, 9), (5, 6), (5, 9), (5, 4), (5, 4), (5, 9), (5, 6), (5, 6), (5, 6), (5, 4)]"
"(((0, 4), (2, 6)), ((0, 1), (2, 3)))",-1.546880418,-1.614401167,-1.614075848,0.004509259,0.004515226,0.2875,0.7125,0,2,0,0.2,0.142857143,"[(5, 6), (5, 9), (5, 9), (5, 9), (5, 4), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 6), (5, 4), (9, 8), (9, 8), (9, 8), (6, 8), (9, 8), (4, 10), (9, 10), (9, 8), (9, 8), (9, 8), (4, 10), (9, 10), (9, 8), (9, 8), (9, 8), (4, 10), (9, 10), (9, 8), (9, 8), (9, 8), (4, 10), (9, 10), (9, 8), (9, 8), (9, 8), (4, 10), (9, 10), (9, 10), (9, 8), (4, 10)]"
"(((0, 4), (2, 6)), ((1, 5), (2, 6)))",-1.430358643,-1.653555477,-1.657638164,0.050438914,0.051655981,0.25,0.75,0,2,0,0.2,0.142857143,"[(11, 10), (12, 2), (1, 2), (1, 2), (1, 2), (2, 3), (12, 2), (2, 3), (1, 2), (2, 3), (12, 2), (2, 3), (1, 2), (2, 3), (12, 2), (1, 2), (11, 12), (11, 12), (11, 12), (11, 10), (11, 3), (11, 12), (11, 3), (11, 10), (11, 3), (11, 12), (11, 3), (11, 10), (11, 10), (11, 3), (11, 12), (11, 12), (11, 12), (11, 10)]"
