Operator,Noisy_val_approx,Ideal_val,diff,REM_seq,Diff_REM,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 5), (3, 6)))",-1.40001344,-1.586297631,0.0347018,-1.599031148,0.039608048,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 4), (3, 7)))",-1.592384835,-1.592384835,0,-1.591962993,1.77951E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.526843144,-1.55761818,0.000947103,-1.550153582,0.000543377,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.440865173,-1.549810102,0.011868998,-1.49518763,0.002950929,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.469542624,-1.629564793,0.025607095,-1.639976624,0.029047748,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.360473239,-1.541657107,0.032827594,-1.506444036,0.021307474,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.546166272,-1.589465146,0.001874792,-1.589173977,0.001849663,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.497456159,-1.589500206,0.008472107,-1.590432519,0.008644603,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.571347714,-1.752837034,0.032938373,-1.729770965,0.025097926,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.433358864,-1.591719671,0.025078145,-1.608548504,0.03069141,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.419068144,-1.54214141,0.015147029,-1.517656237,0.009719612,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.429426487,-1.62706979,0.039062875,-1.587786104,0.025077768,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.409904328,-1.552115711,0.020224077,-1.611017719,0.040446596,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.399197552,-1.626936617,0.051865082,-1.583090166,0.033816493,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.364873993,-1.5643634,0.039796024,-1.565870404,0.040399557,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.367024638,-1.628956895,0.068608507,-1.638956394,0.07394688,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
